question,answer
STE için başvuru zamanı?,STE eğitim-öğretim planının 8. yarıyılında yer alır.  Bu dönemin ilk haftasında yapılabilir.
STE sorumlusu kimdir?,Öğrencimin proje danışmanıdır.
STE zorunlu mudur?,"STE isteğe bağlı olup, talep eden öğrenciler kontenjan dâhilinde bu eğitimi alabileceklerdir"
STE ne zaman başlar?,Bölüm Kurulları tarafından belirlenmek üzere 4. sınıfta güz veya bahar döneminin başında başlar.
STE ne zaman biter?,STE 4. Sınıf bahar döneminin sonunda bitmiş olur.
STE ilk başvuru tarihi?,7. dönemin son iki haftası STE danışmanından bilgi alınız?
İşkur şart mı?,İŞKUR şart değildir.
Devam zorunluluğu nedir?,"STE’ye devamlılık esas olup, devamlılık durumu Namık Kemal Üniversitesi Önlisans ve Lisans Eğitim-Öğretim Yönetmeliği kapsamında değerlendirilir."
Devam zorunluluğu kaç gün?,devam zorunluluğu vardır.
STE yönergesine nasıl ulaşabilirim ?,Çorlu Mühendislik Fakültesi internet sitesinde Sektör Tümleşik Eğitim başlığı altından ulaşabilirsiniz
STE Danışmanı kimdir ?,Öğrencinin proje danışmanı ile aynı kişidir.
STE Sektör Danışmanı gereklilikleri nelerdir?,Sektör danışmanı kurumda tam zamanlı çalışmalı ve en az lisans mezunu olmalıdır.
STE nedir ?," öğrencilerinin öğrenim süreleri içerisinde kazandıkları teorik bilgi ve deneyimlerini pekiştirmek, laboratuvar ve atölye uygulamalarında edindikleri beceri ve deneyimlerini geliştirmek için son sınıf öğrencilerinin katılacağı eğitim modelidir. "
STE'nin amacı nedir ?,"Öğrencilerin öğrenim süreleri içerisinde kazandıkları teorik bilgi ve deneyimlerini pekiştirmek, laboratuvar ve atölye uygulamalarında edindikleri beceri ve deneyimlerini geliştirmek, görev yapacakları STE yerlerindeki sorumluluklarını, ilişkileri, organizasyon ve üretim süreçlerini ve yeni teknolojileri tanımalarını sağlamaktır."
Nerelerde STE yapabilirim ?,Bölüm STE kontejyanlarında veya öğrencinin bulduğu firmada yapılabilir.
Ne zaman STE yapabilirim?,STE eğitim-öğretim planının 8. yarıyılında yer alır. 
STE kaçıncı dönemde yapılır?,"STE, eğitim-öğretim planının 8. yarıyılında yer alır."
STE yapılacak yerlerin uygunluğuna kim karar verir?,STE yapılacak kuruluşların uygunluğuna Bölüm STE Komisyonu karar verir.
STE kaç kredidir?,STE (10 AKTS)
STE kaç adet derse denktir?,"STE, iki adet mesleki seçimlik derse denktir"
Haftasonu çalışılan günler sayılır mı?,Hafta sonu veya resmi tatil günlerinde işletme önerisi ile yapılan çalışmalar STE kapsamında değildir.
Cumartesi günleri çalışılan günler sayılır mı?,Hafta sonu veya resmi tatil günlerinde işletme önerisi ile yapılan çalışmalar STE kapsamında değildir.
STE'de sigarta var mı?,"STE yapılması için 2 gün ders günü ve 3 iş günü Bölüm Başkanlığı tarafından ders seçim döneminden önce belirlenir. 3 iş günü için 5510 Sayılı Sosyal Sigortalar ve Genel Sağlık Sigortası Kanunu kapsamında gerekli sigorta işlemleri, ilgili yarıyılı kapsayacak şekilde Fakülte Dekanlığı tarafında yaptırmalıdır. Sigorta işlemi yaptırılmamış ve belirtilen  2 tarihler dışında yapılmış STE kabul edilmez. "
STE başvuru tarihi nedir?,"STE yapmak isteyen öğrencilerin, STE’ye başlayacakları dönemden bir önceki dönem, akademik takvimde belirtilen derslerin bitiş tarihine kadar, dilekçe ile Bölüme başvuru yapmaları gerekmektedir. STE başvuru dilekçesinin bir örneği bu uygulama esaslarının ekinde verilmektedir."
"Okul, STE için kurum sağlar mı?",İşkur tarafından belirli sayıda öğrenciye kurum sağlanır.
STE almak için ne yapmalıyım?,STE yapacak olan öğrenciler STE Stajı ve STE dersinin her ikisine birlikte kayıt yaptırmalıdır. Bunlardan sadece birine kayıt yaptırılamaz. Gerekli belgeri de danışmanına teslim etmelidir.
Hangi şirketlerde STE yapabilirim?,Öğrencinin bölümü ile ilgili en az bir mühenisin bulunduğu şirketlerde yapılabilir.
STE stajı için defter doldurmalı mıyım?,Bölümlerin belirleyeceği kriterlere uygun olarak hazırlanan STE raporları doldurulmalıdır.
STE stajı için okul sigorta yapar mı?,STE sigortası okul tarafından yapılmaktadır.
STE yapan öğrenci kim tarafından incelenir ?,Bölüm başkanlığı tarafından öğrenciye atanan danışman ile 
STE yapan öğrenci kim tarafından değerlendirilir ? ,Bölüm başkanlığı tarafından öğrenciye atanan danışman aracaığı ile değerlendirilir
STE danışmanları kaç öğrenci ile ilgilenir ?,"Danışman atama, her bir öğretim üyesine eşit sayıda öğrencinin danışmanlığının verilmesi esasına dayalı yapılır"
STE danışmanları ne zaman belirlenir ?,"STE danışmanı, öğrencinin proje aldığı danışman ile aynıdır. Bu sebepten dolayı proje danışmanı ile aynı tarihte belirlenir."
STE danışmanı öğrenci tarafından değiştirilebilir mi ?,STE danışmanları aynı zamanda öğrencinin proje danışmanıdır.
STE raporu ne zamana kadar teslim edilmelidir?, STE raporunu Akademik Takvim’de belirtilen derslerin bitiş tarihinde mesai bitimine kadar Dekanlık STE sekretaryasına teslim etmesi zorunludur.
STE stajı kaç gruba ayrılır?,"STE alanları, donanım ve yazılım olmak üzere iki gruba ayrılmıştır"
Yazılım dalının alanları nelerdir?,"Bilgi işlem uygulamaları, Uygulama programı tasarım, Veri tabanı uygulamaları, Ağ ve iletişim uygulamaları, Güvenlik ve şifreleme uygulamaları,  Büyük veri işleme uygulamaları, Bulut uygulamaları,  Web ve İnternet uygulamaları, Yapay zekâ uygulamaları, Görüntü işleme uygulamaları, Bilgisayar destekli tasarımları"
Donanım dalının alanları nelerdir?,"Elektronik lojik elemanlar ve mikroişlemcilerle tasarım ve üretim, Analog ve digital bilgi iletişim sistemleri tasarım ve üretimi, Bilgisayar kontrollü sistemler, Bilgisayar destekli üretim sistemleri, Network sistemleri, Nesnelerin İnterneti"
STE yapmak istediğim alan yönergede yok ise ne yapmalıyım?,Açılan yeni bir alan var ise STE komisyonuna dilekçe ile başvurulur ve alanın uygun olup olmadığı komisyon tarafından öğrenciye bildirilir. 
STE yapılabilecek dallar nelerdir?,Yazılım ve Donanım
STE yapan öğrenci nasıl değerlendirilir ?,STE raporlarının incelenmesi şeklinde ve/veya gerekli görüldüğünde yazılı veya sözlü sınavla da yapılabilir.
STE yapan öğrenci nasıl izlenir ?,"STE’nin yapıldığı işletme ile iletişime geçip, STE yapan öğrenci hakkında bilgi alarak öğrencileri izleyebilir."
STE raporları değerlendirme sonrası ne olur ?,STE raporları öğrencinin ilişiği kesildikten sonra iki yıl süreyle saklanır.
Ne tür belgeler gerekli?,"STE yeri kabul belgesi, Sigorta başlatma işlem belgesi ve provizyon, değerlendirme formu(fotoğraflı), ste raporu"
STE yönergesinde olmayan hallerde ne yapılır ?,Üniversite Senatosunca alınan kararlar uygulanır.
Yaz döneminde STE yapılabilir mi?,Yaz döneminde STE yapılamaz.
STE yapılcak kurumların uygunluğuna kim karar verir?,STE yapılacak kuruluşların uygunluğuna Bölüm STE Komisyonu karar verir.
STE sırasında hastalanma durumunda ne yapılmalıdır?,STE sırasında hastalanan veya hastalığı sebebiyle STE’ye devam edemeyen ya da bir kazaya uğrayan STE öğrencisinin STE’si sonlandırılır.
Mevcut STE kontejyanlarından faydalanabilir miyim?,Bölüm STE Komisyonu başvuru yapan öğrencilerin mevcut kontenjanlara dağılımını öğrencilerin genel akademik not ortalamasını dikkate alarak yapar
STE için sigorta gereklilikleri nelerdir?,"STE yeri belli olan öğrenciler, STE’ye başlayacağı günden en az 10 gün önce Nüfus Cüzdanı Fotokopisi ve STE Yeri Kabul Belgesini Dekanlık STE sekretaryasına’ya teslim etmek ve STE’ye başlamadan önce SGK primlerinin yatırıldığını takip etmek zorundadır. Primler yatırılmadan STE’ye başlanmamalıdır."
Nerelerde STE yapabilirim ?,"Yazılım ve Donanım üzerine lisans eğitimi gerektiren , mühendislik kavramına önem veren bilişim firmalarında"
Not ortalamasının yüksek olması mevcut kontejyanlara girebilmeyi kolaylaştırır mı?,Bölüm STE Komisyonu başvuru yapan öğrencilerin mevcut kontenjanlara dağılımını öğrencilerin genel akademik not ortalamasını dikkate alarak yapar
Kendi bulduğum firmada STE yapabilir miyim?,") STE yerinin öğrenci tarafından bulunması ve Bölüm STE komisyonunun uygun görmesi durumunda, ilgili öğrenciye ilgili kuruluşta STE için öncelik verilir."
STE muafiyeti yapılabilir mi?,"STE programlarının uygulanması üniversiteler arasında farklılık gösterdiğinden, dikey geçiş yapan öğrencilerin daha önce yapmış oldukları STE ve eşdeğer eğitimler transfer edilemez. Bu öğrenciler STE’lerini Namık Kemal Üniversitesi Çorlu Mühendislik Fakültesi STE Yönergesi’ne uygun şekilde yeniden yaparlar."
STE kontejyanlarına nasıl girebilirim?,"Öğrenciler, ilan edilen kontenjanlar arasından seçecekleri 5 adet STE yerini tercih sırasına göre başvuru dilekçelerinde belirtirler. Bölüm STE Komisyonu öğrencilerin tercih sırasını dikkate alarak STE yerlerini belirler. Ancak, gerekli durumlarda Bölüm STE Komisyonu öğrencilerin tercihleri dışında bir STE yeri belirlemesi de yapabilir"
DGS ile gelmiş öğrencilerin geçmiş STE ve eşdeğer eğitimler transfer edilebilir mi ?,DGS ile gelmiş öğrencilerin geçmiş STE ve eşdeğer eğitimler transfer edilemez
Sigorta yapılacak mı?,"3 iş günü için 5510 Sayılı Sosyal Sigortalar ve Genel Sağlık Sigortası Kanunu kapsamında gerekli sigorta işlemleri, ilgili yarıyılı kapsayacak şekilde Fakülte Dekanlığı tarafında yaptırmalıdır. Sigorta işlemi yaptırılmamış ve belirtilen  2 tarihler dışında yapılmış STE kabul edilmez. Hafta sonu veya resmi tatil günlerinde işletme önerisi ile yapılan çalışmalar STE kapsamında değildir."
STE başladıktan sonra yer değiştirilebilir mi?,STE Komisyonunun bilgisi ve onayı alındıktan sonra STE yeri değişikliği yapılabilir.
"Haftanın kaç günü STE, kaç günü ders olacak?",STE yapılması için 2 gün ders günü ve 3 iş günü Bölüm Başkanlığı tarafından ders seçim döneminden önce belirlenir.
Haftanın kaç günü için sigorta yapılacak?," 3 iş günü için 5510 Sayılı Sosyal Sigortalar ve Genel Sağlık Sigortası Kanunu kapsamında gerekli sigorta işlemleri, ilgili yarıyılı kapsayacak şekilde Fakülte Dekanlığı tarafında yaptırmalıdır. Sigorta işlemi yaptırılmamış ve belirtilen  2 tarihler dışında yapılmış STE kabul edilmez. Hafta sonu veya resmi tatil günlerinde işletme önerisi ile yapılan çalışmalar STE kapsamında değildir."
